0	enemy	kill	civilian
1	terrorist	kill	israeli
2	gunman	assassinate	officer
3	father	treat	child
4	palestinian	fight	israeli
5	netanyahu	praise	administration
6	netanyahu	encourage	obama
7	obama	give	father
8	activist	help	child
9	soldier	flee	u.s.
10	gunman	assassinate	soldier
11	terrorist	target	civilian
12	terrorist	take	hostage
13	daughter	take	administration
14	woman	lose	baby
15	officer	help	child
16	terrorist	kill	israeli
17	obama	oppose	iraq
18	israel	kill	civilian
19	iranians	defeat	army
20	muslims	kill	jews
21	muslims	fight	jews
22	palestinian	face	soldier
23	obama	reassure	israel
24	militant	kill	officer
25	wife	take	child
26	muslims	defend	jews
27	obama	praise	netanyahu
28	u.s.	confront	iran
29	obama	reassure	netanyahu
30	police	rescue	woman
31	gunman	shoot	policeman
32	islamists	encourage	woman
33	netanyahu	challenge	abbas
34	obama	help	netanyahu
35	iraq	kill	soldier
36	wife	expect	baby
37	obama	reassure	abbas
38	guard	seize	pirate
39	daughter	leave	iran
40	policeman	kill	officer
41	palestinian	kill	soldier
42	father	send	husband
43	enemy	support	politician
44	obama	address	israeli
45	activist	challenge	israel
46	judge	order	gaddafi
47	activist	warn	mother
48	iran	save	mother
49	israel	fight	army
50	soldier	kill	father
51	bush	attack	iraq
52	terrorist	fight	soldier
53	police	rescue	woman
54	bush	attack	iraq
55	judge	order	prisoner
56	u.s.	help	israel
57	activist	confront	israel
58	obama	praise	netanyahu
59	wife	visit	washington
60	syria	attack	israel
61	soldier	kill	officer
62	u.s.	accuse	libyans
63	iran	accuse	washington
64	criminal	kill	soldier
65	iran	blame	israel
66	woman	raise	child
67	soldier	fight	insurgent
68	iran	accuse	washington
69	israel	kill	civilian
70	israeli	kill	civilian
71	child	rescue	baby
72	israel	assist	woman
73	soldier	chase	protester
74	israel	capture	jerusalem
75	woman	lose	child
76	israel	attack	iran
77	murderer	target	muslims
78	iraq	kill	soldier
79	iran	attack	israel
80	woman	take	child
81	mother	see	child
82	abbas	criticize	obama
83	soldier	leave	israel
84	israel	attack	iran
85	israel	attack	iran
86	iran	attack	israel
87	regime	accuse	israel
88	israel	attack	iran
89	insurgent	kill	officer
90	gunman	kill	soldier
91	regime	threaten	israel
92	army	treat	soldier
93	iran	attack	israel
94	washington	accuse	iran
95	iran	help	al-qaeda
96	gunman	kill	soldier
97	libya	give	hero
98	ally	lose	daughter
99	israel	stop	iran
100	abbas	criticize	obama
101	judge	release	officer
102	taliban	kill	soldier
103	judge	release	officer
104	israel	attack	iran
105	iraq	kill	civilian
106	gunman	kill	woman
107	iran	aid	insurgent
108	iran	threaten	israel
109	officer	arrest	activist
110	militant	execute	hostage
111	iran	help	taleban
112	ally	accuse	tehran
113	iraq	leave	iran
114	gunman	kill	soldier
115	army	protect	civilian
116	army	defeat	enemy
117	iran	threaten	israel
118	militant	fight	soldier
119	army	push	insurgent
120	obama	join	wife
121	rebel	capture	soldier
122	democrat	accuse	republican
123	soldier	take	enemy
124	woman	kill	baby
125	abbas	accuse	israel
126	abbas	help	palestinian
127	gunman	shoot	soldier
128	army	fight	enemy
129	israel	attack	syria
130	administration	welcome	china
131	administration	push	china
132	gunman	kill	soldier
133	israel	arrest	palestinian
134	obama	warn	abbas
135	mother	visit	child
136	iraqis	flee	regime
137	woman	accuse	officer
138	army	defeat	enemy
139	enemy	bring	iran
140	mother	visit	child
141	assange	accuse	pentagon
142	mother	visit	iran
143	israel	attack	iran
144	mother	leave	child
145	police	kill	smuggler
146	israel	defend	regime
147	attacker	shoot	soldier
148	israel	accuse	syria
149	syria	abandon	iran
150	israel	attack	iran
151	china	attack	iran
152	militant	kill	policeman
153	republican	leave	iraq
154	israel	accuse	extremist
155	child	leave	israel
156	jerusalem	attack	iran
157	obama	rescue	palestinian
158	obama	rescue	israeli
159	thug	kill	soldier
160	obama	criticize	republican
161	officer	warn	prisoner
162	police	disperse	protester
163	ally	accuse	iran
164	ally	accuse	iran
165	scientist	support	police
166	sniper	shoot	officer
167	israel	accuse	syria
168	israel	attack	army
169	washington	stop	administration
170	u.s.	pursue	terrorist
171	enemy	attack	army
172	israel	hire	mercenary
173	israel	attack	army
174	u.s.	aid	activist
175	israel	accuse	syria
176	barak	accuse	army
177	policeman	arrest	activist
178	army	confront	enemy
179	obama	warn	israel
180	father	join	army
181	terrorist	kill	civilian
182	iran	support	enemy
183	israel	attack	iran
184	woman	raise	baby
185	regime	arrest	wife
186	u.s.	protect	ally
187	woman	accuse	officer
